code|name|text
AP029|Biskuit|Biskuit per 100 gram memiliki kandungan zat gizi seperti 1.4 g zat abu, 2.2 g zat air, 2.7 mg zat besi, 14 mcg zat beta-karoten, 458 zat energi, 87 mg zat fosfor, 20.3 mg zat kalium, 62 mg zat kalsium, 75.1 g zat karbohidrat, 0 mcg zat karoten total, 14.4 g zat lemak, 241 mg zat natrium, 1.4 mg zat niasin, 6.9 g zat protein, 0 mcg zat retinol, 0.15 mg zat riboflavin, 0.6 mg zat seng, 2.1 g zat serat, 0.16 mg zat tembaga, 0.09 mg zat thiamin dan 0 mg zat vitamin c. 
AP030|Kue bakpia|Kue bakpia per 100 gram memiliki kandungan zat gizi seperti 1.6 g zat abu, 38.9 g zat air, 4.5 mg zat besi, 0 mcg zat beta-karoten, 272 zat energi, 117 mg zat fosfor, 0 mg zat kalium, 194 mg zat kalsium, 44.1 g zat karbohidrat, 1392 mcg zat karoten total, 6.7 g zat lemak, 0 mg zat natrium, 2.9 mg zat niasin, 8.7 g zat protein, 0 mcg zat retinol, 1.00 mg zat riboflavin, 0 mg zat seng, 0.9 g zat serat, 0 mg zat tembaga, 0.31 mg zat thiamin dan 0 mg zat vitamin c. 
AP031|Bakwan|Bakwan per 100 gram memiliki kandungan zat gizi seperti 2.1 g zat abu, 40.5 g zat air, 7.0 mg zat besi, 0 mcg zat beta-karoten, 280 zat energi, 79 mg zat fosfor, 0 mg zat kalium, 204 mg zat kalsium, 39.0 g zat karbohidrat, 0 mcg zat karoten total, 10.2 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 8.2 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 3.4 g zat serat, 0 mg zat tembaga, 0.08 mg zat thiamin dan 0 mg zat vitamin c. 
AP032|Bantal|Bantal per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 52.3 g zat air, 0.4 mg zat besi, 0 mcg zat beta-karoten, 190 zat energi, 0 mg zat fosfor, 84.0 mg zat kalium, 9 mg zat kalsium, 43.5 g zat karbohidrat, 0 mcg zat karoten total, 0.3 g zat lemak, 164 mg zat natrium, 3.6 mg zat niasin, 3.3 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0.9 mg zat seng, 3.4 g zat serat, 0.20 mg zat tembaga, 0.27 mg zat thiamin dan 0 mg zat vitamin c. 
AP033|Baruasa|Baruasa per 100 gram memiliki kandungan zat gizi seperti 0.7 g zat abu, 5.3 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 417 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 79.3 g zat karbohidrat, 0 mcg zat karoten total, 8.2 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 6.5 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP034|Batar daan|Batar daan per 100 gram memiliki kandungan zat gizi seperti 0.7 g zat abu, 75.3 g zat air, 0.6 mg zat besi, 0 mcg zat beta-karoten, 107 zat energi, 30 mg zat fosfor, 90.0 mg zat kalium, 20 mg zat kalsium, 19.6 g zat karbohidrat, 0 mcg zat karoten total, 2.2 g zat lemak, 200 mg zat natrium, 0 mg zat niasin, 2.2 g zat protein, 0 mcg zat retinol, 0.02 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0.10 mg zat tembaga, 0.18 mg zat thiamin dan 0 mg zat vitamin c. 
AP035|Bika ambon|Bika ambon per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 51.5 g zat air, 1.8 mg zat besi, 0 mcg zat beta-karoten, 199 zat energi, 28 mg zat fosfor, 0 mg zat kalium, 45 mg zat kalsium, 44.4 g zat karbohidrat, 408 mcg zat karoten total, 1.5 g zat lemak, 0 mg zat natrium, 0.0 mg zat niasin, 2.1 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0.3 g zat serat, 0 mg zat tembaga, 0.10 mg zat thiamin dan 0 mg zat vitamin c. 
AP036|Bingka|Bingka per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 44.4 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 273 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 39.1 g zat karbohidrat, 0 mcg zat karoten total, 10.6 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 5.3 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP037|Bobengka|Bobengka per 100 gram memiliki kandungan zat gizi seperti 0.6 g zat abu, 46.3 g zat air, 0 mg zat besi, 0 mcg zat beta-karoten, 225 zat energi, 0 mg zat fosfor, 0 mg zat kalium, 0 mg zat kalsium, 45.2 g zat karbohidrat, 0 mcg zat karoten total, 2.6 g zat lemak, 0 mg zat natrium, 0 mg zat niasin, 5.3 g zat protein, 0 mcg zat retinol, 0 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
AP038|Bolu peca|Bolu peca per 100 gram memiliki kandungan zat gizi seperti 0.9 g zat abu, 55.6 g zat air, 0.0 mg zat besi, 0 mcg zat beta-karoten, 197 zat energi, 0 mg zat fosfor, 0.0 mg zat kalium, 0 mg zat kalsium, 35.6 g zat karbohidrat, 0 mcg zat karoten total, 4.6 g zat lemak, 0 mg zat natrium, 0.0 mg zat niasin, 3.3 g zat protein, 0 mcg zat retinol, 0.00 mg zat riboflavin, 0 mg zat seng, 0 g zat serat, 0 mg zat tembaga, 0 mg zat thiamin dan 0 mg zat vitamin c. 
