FOOD_CODE|Name|Group|Type|Abu (ASH)|Air (Water)|Besi (Fe)|Beta-Karoten (Carotenes)|Energi (Energy)|Fosfor (P)|Kalium (K)|Kalsium (Ca)|Karbohidrat (CHO)|Karoten Total (Re)|Lemak (Fat)|Natrium (Na)|Niasin (Niacin)|Protein (Protein)|Retinol (Vit. A)|Riboflavin (Vit. B2)|Seng (Zn)|Serat (Fibre)|Tembaga (Cu)|Thiamin (Vit. B1)|Vitamin C (Vit. C)
CP045|Tempeh, chips, brand abadi, prime quality|Grains and Legumes|Processed/Products|2.6 g|4.8 g|3.2 mg|0|540 Kal|184 mg|0|92 mg|42.0 g|1,080 mcg|33.9 g|0|0|16.7 g|0|0|0|2.2 g|0|0.38 mg|0 mg
CP046|Kwaci (dried sunflower seeds)|Grains and Legumes|Processed/Products|3.7 g|9.9 g|6.2 mg|0|515 Kal|312 mg|448.6 mg|54 mg|13.8 g|0|42.1 g|124 mg|0.3 mg|30.6 g|0 mcg|0.19 mg|9.7 mg|13.6 g|0.65 mg|0.02 mg|0 mg
CP047|Melinjo, emping, thick, fried, sweet|Grains and Legumes|Processed/Products|2.3 g|5.6 g|0|0|439 Kal|225 mg|0|66 mg|65.7 g|0 mcg|16.4 g|0|0|10.0 g|0|0|0|0|0|0.10 mg|0 mg
CP048|Melinjo, emping, thick, fried, savory|Grains and Legumes|Processed/Products|1.6 g|8.0 g|0|0|431 Kal|0|0|77 mg|63.0 g|0 mcg|16.2 g|0|0|11.1 g|0|0|0|0|0|0.08 mg|0 mg
CP049|Melinjo, emping, thin, fried|Grains and Legumes|Processed/Products|1.5 g|3.3 g|0|0|485 Kal|218 mg|0|85 mg|59.1 g|0 mcg|24.5 g|0|0|11.5 g|0|0|0|0|0|0.11 mg|0 mg
CP050|Moon tofu|Grains and Legumes|Processed/Products|0.8 g|79.9 g|2.5 mg|0|128 Kal|92 mg|0|205 mg|1.3 g|5,300 mcg|10.0 g|393 mg|0|8.0 g|131 mcg|0|0|0.2 g|0|0.46 mg|0 mg
CP051|Oncom|Grains and Legumes|Processed/Products|1.4 g|57.0 g|27.0 mg|0|187 Kal|115 mg|0|96 mg|22.6 g|0|6.0 g|0|1.6 mg|13.0 g|0 mcg|0.00 mg|0|0|0|0.09 mg|0 mg
CP052|Oncom, mungbean, dregs|Grains and Legumes|Processed/Products|1.7 g|13.4 g|10.9 mg|0|376 Kal|110 mg|0|199 mg|65.7 g|0|6.0 g|0|0|14.9 g|0|0|0|12.3 g|0|0.03 mg|0
CP053|Oncom, mungbean + cassava|Grains and Legumes|Processed/Products|1.3 g|16.5 g|7.8 mg|0|351 Kal|113 mg|0|164 mg|65.9 g|0|5.3 g|0|0|11.0 g|0|0|0|9.0 g|0|0.01 mg|0
CP054|Oncom, peanut, pepes|Grains and Legumes|Processed/Products|4.8 g|65.0 g|34.4 mg|0|132 Kal|355 mg|0|133 mg|13.7 g|10 mcg|3.8 g|0|0.7 mg|12.7 g|0|0.20 mg|0|3.1 g|0|0.08 mg|0 mg
CP055|Rempeyek, with peanut|Grains and Legumes|Processed/Products|1.8 g|3.9 g|2.6 mg|0|513 Kal|202 mg|0|65 mg|44.3 g|0 mcg|32.5 g|0|0|17.5 g|0|0|0|1.7 g|0|0.10 mg|0 mg
CP056|Rempeyek, with black-eyed pea|Grains and Legumes|Processed/Products|2.8 g|6.1 g|4.6 mg|0|451 Kal|221 mg|0|156 mg|59.7 g|0 mcg|20.2 g|0|0|11.2 g|0|0|0|1.8 g|0|0.02 mg|0 mg
CP057|Rempeyek, with ricebean|Grains and Legumes|Processed/Products|3.4 g|4.0 g|6.7 mg|0|497 Kal|89 mg|0|166 mg|50.8 g|0 mcg|27.6 g|0|0|17.0 g|0|0|0|2.4 g|0|0.05 mg|0 mg
CP058|Sayur lebui|Grains and Legumes|Processed/Products|0.9 g|83.9 g|1.0 mg|14 mcg|64 Kal|2 mg|146.0 mg|21 mg|12.5 g|0|0.6 g|124 mg|0.1 mg|2.1 g|0|0.00 mg|0.7 mg|5.7 g|0.20 mg|0|0
CP059|Soybean milk, powder|Grains and Legumes|Processed/Products|4.0 g|3.0 g|4.0 mg|0 mcg|344 Kal|500 mg|2,572.3 mg|450 mg|43.0 g|2,000 mcg|20.0 g|56 mg|2.0 mg|30.0 g|0|0.16 mg|4.0 mg|6.2 g|2.99 mg|0.70 mg|10 mg
CP060|Soybean milk|Grains and Legumes|Processed/Products|2.0 g|87.0 g|0.7 mg|0|41 Kal|45 mg|287.9 mg|50 mg|5.0 g|200 mcg|2.5 g|128 mg|0.7 mg|3.5 g|0|0.05 mg|1.0 mg|0.2 g|0.12 mg|0.08 mg|2 mg
CP061|Tofu, uncooked|Grains and Legumes|Processed/Products|1.4 g|82.2 g|3.4 mg|118 mcg|80 Kal|183 mg|50.6 mg|223 mg|0.8 g|0|4.7 g|2 mg|0.1 mg|10.9 g|0|0.08 mg|0.8 mg|0.1 g|0.19 mg|0.01 mg|0
CP062|Tofu, fried|Grains and Legumes|Processed/Products|2.0 g|77.3 g|4.1 mg|0 mcg|115 Kal|200 mg|68.2 mg|229 mg|2.5 g|0 mcg|8.5 g|7 mg|0.0 mg|9.7 g|0|0.24 mg|1.3 mg|0.1 g|0.09 mg|0.01 mg|0 mg
CP063|Egg tofu|Grains and Legumes|Processed/Products|1.1 g|41.8 g|4.9 mg|0|328 Kal|238 mg|0|492 mg|24.6 g|1,860 mcg|19.9 g|755 mg|0|12.6 g|73 mcg|0|0|0.4 g|0|0.42 mg|0 mg
CP064|Takwa|Grains and Legumes|Processed/Products|1.6 g|72.2 g|8.5 mg|0|148 Kal|214 mg|79.0 mg|140 mg|4.0 g|920 mcg|8.5 g|3 mg|0.8 mg|13.8 g|0|0.10 mg|1.3 mg|0.0 g|0.30 mg|0.20 mg|0
CP065|Tauco|Grains and Legumes|Processed/Products|6.9 g|54.0 g|6.0 mg|0 mcg|184 Kal|463 mg|233.0 mg|72 mg|22.2 g|664 mcg|5.5 g|1,766 mg|0.8 mg|11.4 g|0|0.20 mg|1.0 mg|1.9 g|0.39 mg|0.32 mg|0 mg
CP066|Tauco, brand beruang, cake|Grains and Legumes|Processed/Products|8.4 g|11.4 g|6.2 mg|0|347 Kal|106 mg|0|63 mg|67.6 g|936 mcg|5.2 g|0|0|7.4 g|0|0|0|3.2 g|0|0.35 mg|0 mg
CP067|Tauco, brand DAS, cake|Grains and Legumes|Processed/Products|7.6 g|10.2 g|4.5 mg|0|358 Kal|94 mg|0|94 mg|70.4 g|504 mcg|4.3 g|0|0|7.5 g|0|0|0|3.1 g|0|0.29 mg|0 mg
CP068|Tauco, brand meong|Grains and Legumes|Processed/Products|6.7 g|59.7 g|10.1 mg|0 mcg|159 Kal|84 mg|204.1 mg|183 mg|21.3 g|472 mcg|4.9 g|1,547 mg|0.7 mg|7.4 g|0|0.18 mg|0.9 mg|1.6 g|0.34 mg|0.46 mg|0 mg
CP069|Tauji, brand singa|Grains and Legumes|Processed/Products|6.2 g|30.4 g|3.0 mg|0|277 Kal|106 mg|0|68 mg|49.6 g|936 mcg|4.7 g|0|0|9.1 g|0|0|0|1.2 g|0|0.15 mg|0 mg
CP070|Tempeh bongkrek|Grains and Legumes|Processed/Products|146.3 g|72.5 g|2.6 mg|0|119 Kal|100 mg|0|27 mg|18.3 g|0|3.5 g|0|0|4.4 g|0 mcg|0|0|0|0|0.08 mg|0 mg
CP071|Tempeh gembus P3G|Grains and Legumes|Processed/Products|0.8 g|81.9 g|1.5 mg|0|73 Kal|80 mg|0|204 mg|10.3 g|22 mcg|1.3 g|0|0.9 mg|5.7 g|0|0.10 mg|0|4.2 g|0|0.09 mg|0
CP072|Tempeh gembus yogya|Grains and Legumes|Processed/Products|1.1 g|80.7 g|16.5 mg|0|76 Kal|142 mg|0|76 mg|10.6 g|0|0.7 g|0|0.1 mg|6.8 g|0|0.01 mg|0|5.3 g|0|0.79 mg|0
CP073|Tempeh, velvet bean|Grains and Legumes|Processed/Products|1.2 g|64.0 g|2.6 mg|0|139 Kal|182 mg|0|68 mg|21.9 g|20 mcg|0.8 g|0|0|12.5 g|0|0|0|1.8 g|0|0.10 mg|0
CP074|Tempeh, winged bean|Grains and Legumes|Processed/Products|1.4 g|58.2 g|2.2 mg|0|212 Kal|160 mg|0|186 mg|12.9 g|0|10.0 g|0|0|17.5 g|0|0|0|2.9 g|0|0.20 mg|0
CP075|Tempeh, soybean + corn|Grains and Legumes|Processed/Products|0.6 g|70.6 g|6.8 mg|0|143 Kal|156 mg|0|155 mg|11.4 g|1,320 mcg|5.5 g|0|1.2 mg|12.0 g|0|0.15 mg|0|1.9 g|0|0.33 mg|0
CP076|Tempeh, pure soybean, fried|Grains and Legumes|Processed/Products|1.8 g|36.8 g|4.9 mg|0|350 Kal|296 mg|626.7 mg|202 mg|10.4 g|78 mcg|26.6 g|22 mg|3.3 mg|24.5 g|0|0.60 mg|2.5 mg|4.2 g|0.80 mg|0.24 mg|0 mg
CP077|Tempeh, pure soybean, uncooked|Grains and Legumes|Processed/Products|1.6 g|55.3 g|4.0 mg|0 mcg|201 Kal|326 mg|234.0 mg|155 mg|13.5 g|0|8.8 g|9 mg|4.9 mg|20.8 g|0|0.59 mg|1.7 mg|1.4 g|0.57 mg|0.19 mg|0
CP078|Tempeh, hyacinth bean, benguk|Grains and Legumes|Processed/Products|1.3 g|64.0 g|2.6 mg|0|141 Kal|15 mg|0|42 mg|23.2 g|0|1.3 g|0|0|10.2 g|0 mcg|0|0|0|0|0.09 mg|0 mg
CP079|Tempeh, river tamarind|Grains and Legumes|Processed/Products|0.7 g|66.8 g|0.6 mg|0|128 Kal|108 mg|0|203 mg|21.3 g|121 mcg|0.5 g|0|0|10.7 g|0|0|0|7.1 g|0|0.17 mg|2 mg
CP080|Tempeh, river tamarind, variant gung with skin|Grains and Legumes|Processed/Products|1.3 g|65.1 g|6.8 mg|0|146 Kal|41 mg|0|128 mg|19.6 g|1,370 mcg|2.3 g|0|1.4 mg|11.7 g|0|0|0|7.6 g|0|0.19 mg|0
CP081|Tempeh, river tamarind, variant gung without skin|Grains and Legumes|Processed/Products|1.1 g|67.1 g|12.4 mg|0|131 Kal|154 mg|0|95 mg|13.0 g|5,900 mcg|0.8 g|0|2.6 mg|18.0 g|0|0.02 mg|0|1.3 g|0|0.20 mg|0
CP082|Tempeh, sold in market|Grains and Legumes|Processed/Products|0.9 g|68.3 g|1.5 mg|0 mcg|150 Kal|202 mg|165.9 mg|517 mg|9.1 g|0|7.7 g|7 mg|3.6 mg|14.0 g|0|0.44 mg|1.2 mg|1.4 g|0.40 mg|0.17 mg|0
CP083|Tempeh, sold in market, fried|Grains and Legumes|Processed/Products|1.3 g|42.9 g|3.0 mg|0|336 Kal|350 mg|566.2 mg|156 mg|7.8 g|10 mcg|28.0 g|20 mg|3.0 mg|20.0 g|0|0.50 mg|2.2 mg|3.4 g|0.80 mg|0.10 mg|0 mg
CP084|Hunkwe, flour (Mungbean starch)|Grains and Legumes|Processed/Products|1.0 g|10.0 g|1.0 mg|0|364 Kal|100 mg|1,232.9 mg|50 mg|83.5 g|0|1.0 g|15 mg|2.2 mg|4.5 g|0 mcg|0.23 mg|2.7 mg|16.1 g|0.93 mg|0.00 mg|0 mg
CP085|Jalejo, flour|Grains and Legumes|Processed/Products|2.3 g|10.0 g|2.0 mg|1,000 mcg|388 Kal|663 mg|712.0 mg|101 mg|61.2 g|0 mcg|7.5 g|3 mg|1.6 mg|19.0 g|0|0.70 mg|1.9 mg|5.8 g|0.60 mg|0.02 mg|9 mg
CP086|Soybean, flour|Grains and Legumes|Processed/Products|4.0 g|9.0 g|8.4 mg|0 mcg|347 Kal|544 mg|2,522.6 mg|195 mg|29.9 g|140 mcg|20.6 g|52 mg|2.1 mg|35.9 g|0|0.32 mg|2.6 mg|5.8 g|4,303.45 mg|0.77 mg|0 mg
CR001|Chickpea, dried|Grains and Legumes|Raw|3.0 g|11.6 g|4.7 mg|40 mcg|330 Kal|388 mg|874.3 mg|57 mg|60.2 g|140 mcg|1.4 g|24 mg|1.5 mg|23.8 g|0|0.21 mg|3.4 mg|17.4 g|0.85 mg|0.77 mg|2 mg
CR002|Velvet bean, dried|Grains and Legumes|Raw|3.5 g|11.6 g|6.8 mg|0|341 Kal|521 mg|1,768.0 mg|178 mg|51.3 g|87 mcg|3.2 g|13 mg|2.8 mg|30.4 g|0|0.33 mg|3.1 mg|4.5 g|0.82 mg|0.23 mg|0
CR003|Winged bean, dried|Grains and Legumes|Raw|4.2 g|10.4 g|6.8 mg|0|400 Kal|182 mg|955.0 mg|468 mg|34.1 g|0|16.9 g|37 mg|3.0 mg|34.4 g|0|0.44 mg|2.0 mg|10.7 g|2.82 mg|0.30 mg|0
CR004|Castor bean, fresh|Grains and Legumes|Raw|0.4 g|72.1 g|1.7 mg|0|118 Kal|50 mg|40.0 mg|50 mg|21.6 g|0|1.5 g|10 mg|0|4.4 g|0|0|1.0 mg|0|0.30 mg|0.43 mg|0
CR005|Bambara groundnut, dried|Grains and Legumes|Raw|3.0 g|10.0 g|4.2 mg|0|370 Kal|264 mg|868.8 mg|85 mg|65.0 g|0|6.0 g|44 mg|6.2 mg|16.0 g|0 mcg|0.26 mg|2.7 mg|26.3 g|1.48 mg|0.18 mg|0 mg
CR006|Bambara groundnut, fresh|Grains and Legumes|Raw|1.0 g|60.8 g|5.3 mg|29 mcg|165 Kal|126 mg|537.0 mg|96 mg|27.4 g|0|3.1 g|6 mg|2.7 mg|7.7 g|0|0.35 mg|1.2 mg|2.5 g|0.41 mg|0.32 mg|0
CR007|Ricebean, seeds, dried|Grains and Legumes|Raw|2.0 g|14.0 g|5.0 mg|0|331 Kal|400 mg|1,322.4 mg|80 mg|58.0 g|0|1.0 g|12 mg|2.3 mg|25.0 g|0 mcg|0.75 mg|2.7 mg|23.6 g|0.68 mg|0.30 mg|0
CR008|Green pea, fresh|Grains and Legumes|Raw|1.0 g|67.6 g|2.3 mg|212 mcg|129 Kal|130 mg|310.0 mg|40 mg|18.3 g|0|0.7 g|4 mg|2.7 mg|12.4 g|0|0.05 mg|2.1 mg|28.6 g|0.30 mg|0.29 mg|0
CR009|Galing nut, fresh|Grains and Legumes|Raw|3.8 g|12.0 g|5.0 mg|0|336 Kal|400 mg|0|80 mg|59.5 g|0|1.7 g|0|0|23.1 g|0 mcg|0|0|0|0|0.60 mg|0 mg
CR010|Pigeon pea, seeds, dried|Grains and Legumes|Raw|4.2 g|16.1 g|4.7 mg|19 mcg|316 Kal|445 mg|1,306.2 mg|146 mg|58.0 g|0|1.0 g|16 mg|2.4 mg|20.7 g|0|0.19 mg|2.7 mg|4.6 g|0.99 mg|0.30 mg|0
CR011|Pigeon pea, seeds, fresh|Grains and Legumes|Raw|2.3 g|70.3 g|1.5 mg|0|114 Kal|122 mg|480.5 mg|3 mg|20.8 g|70 mcg|0.6 g|4 mg|0.8 mg|7.0 g|0|0.07 mg|0.9 mg|4.4 g|0.12 mg|0.37 mg|43 mg
CR012|Mungbean, variant bakti, dried|Grains and Legumes|Raw|3.1 g|7.4 g|4.9 mg|171 mcg|350 Kal|315 mg|893.9 mg|94 mg|70.7 g|235 mcg|1.8 g|46 mg|2.6 mg|17.1 g|0|0.27 mg|3.1 mg|5.7 g|1.52 mg|0.40 mg|11 mg
CR013|Mungbean, variant siwalik, dried|Grains and Legumes|Raw|3.7 g|8.8 g|4.9 mg|168 mcg|339 Kal|136 mg|880.4 mg|122 mg|64.6 g|321 mcg|2.1 g|45 mg|2.6 mg|20.8 g|0|0.27 mg|3.1 mg|7.4 g|1.50 mg|0.45 mg|0
CR014|Mungbean, dried|Grains and Legumes|Raw|3.3 g|15.5 g|7.5 mg|156 mcg|323 Kal|319 mg|815.7 mg|223 mg|56.8 g|223 mcg|1.5 g|42 mg|1.5 mg|22.9 g|0|0.15 mg|2.9 mg|7.5 g|1.90 mg|0.46 mg|10 mg
CR015|Black soybean, dried|Grains and Legumes|Raw|3.1 g|12.5 g|4.7 mg|28 mcg|346 Kal|300 mg|0.0 mg|70 mg|66.1 g|0|1.7 g|3 mg|2.1 mg|16.6 g|0|0.10 mg|3.5 mg|22.8 g|0.90 mg|0.16 mg|0
CR016|Edible-podded pea, fresh|Grains and Legumes|Raw|0.9 g|74.3 g|1.9 mg|0|98 Kal|122 mg|296.6 mg|22 mg|17.7 g|680 mcg|0.4 g|6 mg|2.5 mg|6.7 g|0|0.16 mg|1.5 mg|6.2 g|0.21 mg|0.34 mg|26 mg
CR017|Soybean, dried|Grains and Legumes|Raw|5.5 g|12.7 g|10.0 mg|237 mcg|381 Kal|682 mg|713.4 mg|222 mg|24.9 g|31 mcg|16.7 g|210 mg|1.2 mg|40.4 g|0|0.12 mg|3.9 mg|3.2 g|1.58 mg|0.52 mg|0
CR018|Soybean, fresh|Grains and Legumes|Raw|4.1 g|20.0 g|6.9 mg|0|286 Kal|506 mg|870.9 mg|196 mg|30.1 g|95 mcg|15.6 g|28 mg|1.8 mg|30.2 g|0|0.26 mg|3.6 mg|2.9 g|1.24 mg|0.93 mg|0
CR019|Kincai nut, dried|Grains and Legumes|Raw|4.9 g|4.2 g|0|0|444 Kal|0|0|26 mg|55.0 g|0|16.0 g|0|1.9 mg|19.9 g|0|0.10 mg|0|0|0|0.10 mg|0
CR020|Hyacinth bean, fresh|Grains and Legumes|Raw|2.6 g|20.9 g|4.0 mg|0|327 Kal|282 mg|1,137.0 mg|74 mg|55.8 g|0|4.3 g|22 mg|0.1 mg|16.4 g|0|0.12 mg|2.1 mg|0.5 g|0.90 mg|0.99 mg|0
CR021|Lentils, yellow, dried|Grains and Legumes|Raw|2.8 g|11.7 g|5.8 mg|58 mcg|355 Kal|220 mg|0.0 mg|140 mg|66.0 g|0|2.5 g|1 mg|1.9 mg|17.0 g|0|0.08 mg|3.2 mg|15.1 g|0.70 mg|0.47 mg|0
CR022|Pigeon pea, dried|Grains and Legumes|Raw|3.6 g|11.8 g|3.4 mg|64 mcg|346 Kal|368 mg|1,225.0 mg|144 mg|66.6 g|0|1.5 g|17 mg|0.0 mg|16.5 g|0|0.20 mg|3.3 mg|37.3 g|1.50 mg|0.62 mg|0
CR023|Butter nut, dried|Grains and Legumes|Raw|2.9 g|13.7 g|6.7 mg|0 mcg|344 Kal|300 mg|10.0 mg|110 mg|64.6 g|0|2.1 g|1 mg|1.2 mg|16.7 g|0|0.07 mg|2.5 mg|13.0 g|0.70 mg|0.21 mg|0
CR024|Kidney bean (Banda), dried|Grains and Legumes|Raw|3.2 g|13.0 g|6.8 mg|137 mcg|350 Kal|242 mg|1,127.0 mg|84 mg|66.9 g|0|3.0 g|19 mg|0.3 mg|13.9 g|0|0.76 mg|42.0 mg|26.3 g|0.00 mg|0.15 mg|0
CR025|Kidney bean, dark red, dried|Grains and Legumes|Raw|6.2 g|12.3 g|6.4 mg|0|280 Kal|335 mg|1,348.5 mg|209 mg|63.2 g|0|1.6 g|19 mg|2.0 mg|16.7 g|0|0.08 mg|2.8 mg|4.6 g|0.69 mg|0.10 mg|6 mg
CR026|Kidney bean, dried|Grains and Legumes|Raw|2.9 g|17.7 g|10.3 mg|129 mcg|314 Kal|429 mg|1,265.5 mg|502 mg|56.2 g|0|1.1 g|11 mg|2.2 mg|22.1 g|0|0.72 mg|2.6 mg|4.0 g|0.65 mg|0.40 mg|0
CR027|Kidney bean, fresh|Grains and Legumes|Raw|1.7 g|57.2 g|3.7 mg|0 mcg|171 Kal|134 mg|360.7 mg|293 mg|28.0 g|10 mcg|2.2 g|7 mg|1.1 mg|11.0 g|0|0.15 mg|1.4 mg|2.1 g|0.34 mg|0.15 mg|0
CR028|Cashew nut, fresh|Grains and Legumes|Raw|2.0 g|4.6 g|3.8 mg|5 mcg|616 Kal|521 mg|692.0 mg|26 mg|28.7 g|0|48.4 g|26 mg|0.0 mg|16.3 g|0|0.03 mg|4.1 mg|0.9 g|4.70 mg|0.64 mg|0
CR029|Yardlong bean, seeds, dried|Grains and Legumes|Raw|0.4 g|12.2 g|6.9 mg|2,182 mcg|357 Kal|437 mg|1,109.4 mg|163 mg|68.6 g|0|1.5 g|16 mg|7.1 mg|17.3 g|0 mcg|0.98 mg|2.8 mg|10.6 g|0.35 mg|0.57 mg|2 mg
CR030|Peanut, seeds|Grains and Legumes|Raw|2.2 g|1.2 g|4.1 mg|0 mcg|560 Kal|366 mg|509.8 mg|107 mg|24.1 g|0|43.0 g|34 mg|15.5 mg|29.5 g|0|0.30 mg|2.1 mg|2.9 g|1.69 mg|0.31 mg|0
CR031|Peanut, seeds, without husk|Grains and Legumes|Raw|2.7 g|2.6 g|1.9 mg|0 mcg|559 Kal|393 mg|202.3 mg|74 mg|23.6 g|0|44.2 g|33 mg|8.0 mg|26.9 g|0 mcg|29.47 mg|1.7 mg|2.6 g|520.40 mg|0.30 mg|0 mg
CR032|Peanut, dried|Grains and Legumes|Raw|2.4 g|9.6 g|5.7 mg|0 mcg|525 Kal|456 mg|466.5 mg|316 mg|17.4 g|30 mcg|42.7 g|31 mg|1.4 mg|27.9 g|0|0.27 mg|1.9 mg|2.4 g|1.55 mg|0.44 mg|0
CR033|Black-eyed pea, dried|Grains and Legumes|Raw|3.6 g|13.5 g|13.9 mg|65 mcg|331 Kal|399 mg|7.8 mg|481 mg|56.6 g|0|1.9 g|15 mg|4.3 mg|24.4 g|0|0.20 mg|5.9 mg|1.6 g|1.03 mg|0.06 mg|0
CR034|Pigeon pea, dried|Grains and Legumes|Raw|3.2 g|10.5 g|6.9 mg|0|351 Kal|220 mg|0.0 mg|120 mg|72.9 g|0|1.2 g|1 mg|2.5 mg|12.2 g|0|0.13 mg|2.9 mg|29.5 g|1.40 mg|0.57 mg|0
CR035|Ricebean, dried|Grains and Legumes|Raw|3.7 g|9.9 g|0.5 mg|20 mcg|358 Kal|264 mg|1,457.7 mg|269 mg|60.6 g|0|2.4 g|13 mg|2.5 mg|23.4 g|0|0.20 mg|0|7.4 g|0.35 mg|0.10 mg|2 mg
CR036|Urei nut, dried|Grains and Legumes|Raw|3.3 g|12.8 g|5.1 mg|0|354 Kal|220 mg|0.0 mg|220 mg|69.3 g|0|1.8 g|1 mg|3.5 mg|12.8 g|0|0.05 mg|3.1 mg|26.1 g|0.70 mg|0.55 mg|0
CR037|Pili nut (Banda), dried|Grains and Legumes|Raw|3.2 g|13.0 g|1.4 mg|90 mcg|616 Kal|380 mg|460.0 mg|0 mg|13.7 g|0|56.2 g|11 mg|0.5 mg|13.9 g|0|0.08 mg|3.2 mg|0|1.10 mg|0.83 mg|0
CR038|Pili nut, dried|Grains and Legumes|Raw|3.0 g|3.0 g|7.7 mg|0|657 Kal|691 mg|505.8 mg|92 mg|13.0 g|0|66.0 g|3 mg|0.5 mg|15.0 g|0 mcg|0.09 mg|3.0 mg|0|0.97 mg|0.42 mg|0 mg
CR039|Hyacinth bean, pod, fresh|Grains and Legumes|Raw|1.1 g|74.3 g|13.1 mg|5 mcg|99 Kal|99 mg|567.0 mg|50 mg|21.2 g|0|0.1 g|15 mg|0.2 mg|3.3 g|0|0.03 mg|0.6 mg|10.3 g|0.20 mg|0.13 mg|0
CR040|Hyacinth bean, andong, dried|Grains and Legumes|Raw|3.0 g|10.8 g|6.2 mg|0 mcg|356 Kal|272 mg|301.8 mg|150 mg|61.6 g|0|4.1 g|18 mg|1.4 mg|20.5 g|0|0.02 mg|2.8 mg|7.0 g|0.73 mg|0.29 mg|1 mg
CR041|Hyacinth bean, benguk, seeds, dried|Grains and Legumes|Raw|3.0 g|15.0 g|2.0 mg|0 mcg|332 Kal|200 mg|389.2 mg|30 mg|55.0 g|70 mcg|3.0 g|42 mg|1.7 mg|24.0 g|0|0.12 mg|8.7 mg|5.6 g|1.25 mg|0.30 mg|0 mg
CR042|Hyacinth bean, kerupuk, seeds, fresh|Grains and Legumes|Raw|1.7 g|67.2 g|2.7 mg|0 mcg|125 Kal|12 mg|150.3 mg|17 mg|22.1 g|80 mcg|0.7 g|16 mg|1.1 mg|8.3 g|0|0.04 mg|3.4 mg|2.2 g|0.48 mg|0.11 mg|31 mg
CR043|Hyacinth bean, loke, seeds, fresh|Grains and Legumes|Raw|0.6 g|88.6 g|2.0 mg|0 mcg|33 Kal|40 mg|38.6 mg|60 mg|7.9 g|40 mcg|0.2 g|2 mg|0.2 mg|2.7 g|0|0.00 mg|0.4 mg|3.5 g|0.09 mg|0.10 mg|0 mg
CR044|Hyacinth bean, roay, dried|Grains and Legumes|Raw|3.0 g|13.0 g|4.4 mg|0 mcg|344 Kal|103 mg|294.3 mg|70 mg|69.4 g|28 mcg|2.1 g|18 mg|1.4 mg|12.5 g|0|0.21 mg|2.7 mg|7.5 g|0.72 mg|0.11 mg|1 mg
CR045|Hyacinth bean, wedus, seeds, dried|Grains and Legumes|Raw|3.5 g|11.8 g|3.5 mg|0 mcg|338 Kal|395 mg|403.8 mg|88 mg|61.0 g|0|1.5 g|43 mg|1.8 mg|22.2 g|0 mcg|0.12 mg|9.1 mg|5.8 g|1.30 mg|0.62 mg|0 mg
CR046|River tamarind, seeds, young, fresh|Grains and Legumes|Raw|1.2 g|77.4 g|2.7 mg|0 mcg|85 Kal|53 mg|485.7 mg|180 mg|15.4 g|423 mcg|0.3 g|35 mg|1.0 mg|5.7 g|0|1.15 mg|1.4 mg|10.8 g|0.02 mg|0.08 mg|15 mg
CR047|River tamarind, seeds, old, fresh|Grains and Legumes|Raw|1.3 g|61.4 g|2.2 mg|0|148 Kal|59 mg|628.5 mg|155 mg|26.2 g|416 mcg|0.5 g|28 mg|2.8 mg|10.6 g|0|0.49 mg|2.4 mg|17.0 g|0.03 mg|0.23 mg|20 mg
CR048|River tamarind, variant gung, without skin|Grains and Legumes|Raw|4.4 g|10.2 g|23.3 mg|0|367 Kal|441 mg|1,462.3 mg|136 mg|32.5 g|18,900 mcg|5.4 g|65 mg|1.0 mg|46.4 g|0|1.15 mg|5.6 mg|2.6 g|0.07 mg|0.06 mg|9 mg
CR049|River tamarind, variant local, with skin|Grains and Legumes|Raw|1.8 g|13.5 g|1.5 mg|0|336 Kal|321 mg|1,858.9 mg|867 mg|59.7 g|321 mcg|1.2 g|134 mg|0.9 mg|23.8 g|0|1.34 mg|5.4 mg|15.4 g|0.07 mg|0.15 mg|16 mg
CR050|Jackfruit, seeds, fresh|Grains and Legumes|Raw|1.3 g|57.7 g|1.0 mg|0 mcg|165 Kal|200 mg|179.0 mg|33 mg|36.7 g|0|0.1 g|69 mg|1.4 mg|4.2 g|0 mcg|0.03 mg|0.2 mg|1.8 g|0.12 mg|0.20 mg|10 mg
CR051|Red saga, peeled, raw|Grains and Legumes|Raw|3.9 g|8.1 g|14.2 mg|0|449 Kal|161 mg|1,496.5 mg|1,062 mg|31.9 g|107 mcg|25.5 g|66 mg|10.9 mg|30.6 g|0|1.50 mg|5.7 mg|3.5 g|0.07 mg|0.09 mg|7 mg
CR052|Sesame, raw|Grains and Legumes|Raw|5.8 g|5.8 g|9.5 mg|15 mcg|568 Kal|614 mg|303.7 mg|1,125 mg|18.1 g|0|51.1 g|18 mg|5.7 mg|19.3 g|0|0.20 mg|7.9 mg|3.6 g|4.16 mg|0.93 mg|0 mg
DP001|Spinach, steamed|Vegetables|Processed/Products|1.6 g|90.7 g|5.7 mg|2,699 mcg|30 Kal|35 mg|431.0 mg|239 mg|5.8 g|3,750 mcg|0.7 g|15 mg|0.9 mg|1.3 g|0 mcg|0.10 mg|0.3 mg|1.2 g|0.10 mg|0.02 mg|32 mg
