FOOD_CODE|Nutrient/Ingridient|Value (per 100gr)|Name|Group|Type
AP006|Lemak (Fat)|0.1 g|Vermicelli, raw|Cereals|Processed/Products
AP006|Karbohidrat (CHO)|82.1 g|Vermicelli, raw|Cereals|Processed/Products
AP006|Serat (Fibre)|1.2 g|Vermicelli, raw|Cereals|Processed/Products
AP006|Abu (ASH)|0.2 g|Vermicelli, raw|Cereals|Processed/Products
AP006|Kalsium (Ca)|6 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Fosfor (P)|35 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Besi (Fe)|1.8 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Natrium (Na)|12 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Kalium (K)|5.0 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Tembaga (Cu)|0.08 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Seng (Zn)|0.7 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Retinol (Vit. A)|0 mcg|Vermicelli, raw|Cereals|Processed/Products
AP006|Beta-Karoten (Carotenes)|0 mcg|Vermicelli, raw|Cereals|Processed/Products
AP006|Karoten Total (Re)|0 mcg|Vermicelli, raw|Cereals|Processed/Products
AP006|Thiamin (Vit. B1)|0.00 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Riboflavin (Vit. B2)|0.00 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Niasin (Niacin)|0.2 mg|Vermicelli, raw|Cereals|Processed/Products
AP006|Vitamin C (Vit. C)|0 mg|Vermicelli, raw|Cereals|Processed/Products
AP007|Air (Water)|9.0 g|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Energi (Energy)|381 Kal|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Protein (Protein)|6.1 g|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Lemak (Fat)|3.9 g|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Karbohidrat (CHO)|80.3 g|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Abu (ASH)|0.7 g|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Kalsium (Ca)|266 mg|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Fosfor (P)|151 mg|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Besi (Fe)|2.9 mg|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Natrium (Na)|928 mg|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Retinol (Vit. A)|58 mcg|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Karoten Total (Re)|400 mcg|Vermicelli, fried, instant|Cereals|Processed/Products
AP007|Thiamin (Vit. B1)|0.37 mg|Vermicelli, fried, instant|Cereals|Processed/Products
