Number|Food Code|Food Name|Group|Type
940|CP006|Soybean, fried|Grains and Legumes|Processed/Products
941|AP106|Spaghetti|Cereals|Processed/Products
942|GP083|Spanish mackerel pempek|Fish and Other Seafood|Processed/Products
943|DP038|Spinach chips|Vegetables|Processed/Products
944|DP002|Spinach, boiled|Vegetables|Processed/Products
945|DR008|Spinach, fresh|Vegetables|Raw
946|DP001|Spinach, steamed|Vegetables|Processed/Products
947|GR074|Spiny eel, fresh|Fish and Other Seafood|Raw
948|GR013|Spotted barb, fresh|Fish and Other Seafood|Raw
949|GR079|Spotted scat, fresh|Fish and Other Seafood|Raw
950|DR150|Sprouts of blackeyed pea, fresh|Vegetables|Raw
951|DR149|Sprouts of soybean, fresh|Vegetables|Raw
952|DP018|Sprouts, brewed|Vegetables|Processed/Products
953|DP017|Sprouts, fried|Vegetables|Processed/Products
954|DR124|Squash, fresh|Vegetables|Raw
955|BP040|Squid, chips, fried|Starchy Roots & Tubers|Processed/Products
956|GR022|Squid, fresh|Fish and Other Seafood|Raw
957|GP003|Squid, fried|Fish and Other Seafood|Processed/Products
958|ER102|Star apple, fresh|Fruits|Raw
959|ER006|Starfruit, fresh|Fruits|Raw
960|GP095|Stir-fried keumamah|Fish and Other Seafood|Processed/Products
961|GP094|Stir-fried milkfish|Fish and Other Seafood|Processed/Products
962|DR089|Straw mushroom, fresh|Vegetables|Raw
963|GR006|Streaked spinefoot, fresh|Fish and Other Seafood|Raw
964|ER108|Sugar apple, fresh|Fruits|Raw
965|FP032|Sukabumi fried chicken, breast|Meat and Poultry|Processed/Products
966|FP033|Sukabumi fried chicken, thigh|Meat and Poultry|Processed/Products
967|FP085|Sukiyaki, dish|Meat and Poultry|Processed/Products
968|AP108|Sunduk lawang|Cereals|Processed/Products
969|DR023|Sunset hibiscus, big, fresh|Vegetables|Raw
970|DR024|Sunset hibiscus, small, fresh|Vegetables|Raw
971|AP109|Suwir-suwir|Cereals|Processed/Products
972|MP001|Sweet chocolate, bar|Convectionery|Processed/Products
973|DP005|Sweet leaves, boiled|Vegetables|Processed/Products
974|DR035|Sweet leaves, fresh|Vegetables|Raw
975|ER039|Sweet orange, fresh|Fruits|Raw
976|BP039|Sweet potato, chips|Starchy Roots & Tubers|Processed/Products
977|BP075|Sweet potato, Cilembu|Starchy Roots & Tubers|Processed/Products
978|BR029|Sweet potato, fresh|Starchy Roots & Tubers|Raw
979|BP072|Sweet potato, purple, flour|Starchy Roots & Tubers|Processed/Products
980|BR030|Sweet potato, red, fresh|Starchy Roots & Tubers|Raw
981|BR031|Sweet potato, white, fresh|Starchy Roots & Tubers|Raw
982|BR028|Sweet potato, yellow, fresh|Starchy Roots & Tubers|Raw
983|BP011|Sweet potato, yellow, steamed|Starchy Roots & Tubers|Processed/Products
984|BP059|Sweet sago|Starchy Roots & Tubers|Processed/Products
985|GP068|Sweet sour gourami, dish|Fish and Other Seafood|Processed/Products
986|NP005|Sweet soy sauce|Herbs and Spices|Processed/Products
987|JP007|Sweetened condensed milk|Milk and Dairy Products|Processed/Products
988|MP014|Syrup|Convectionery|Processed/Products
989|NR015|Tabasco pepper, fresh|Herbs and Spices|Raw
990|ER029|Tahitian chestnut, fresh|Fruits|Raw
991|DR143|Taiwan mustard greens, fresh|Vegetables|Raw
992|CP064|Takwa|Grains and Legumes|Processed/Products
993|FP034|Taliwang chicken, dish|Meat and Poultry|Processed/Products
994|ER026|Tamarillo, fresh|Fruits|Raw
995|ER036|Tangerine, fresh|Fruits|Raw
996|AP041|Tapai cake|Cereals|Processed/Products
997|BP070|Tapioca, flour|Starchy Roots & Tubers|Processed/Products
998|GR073|Tarmon fish, fresh|Fish and Other Seafood|Raw
999|ER091|Taro banana, fresh|Fruits|Raw
1000|BP071|Taro Beneng, flour|Starchy Roots & Tubers|Processed/Products
1001|DP009|Taro leaves, boiled|Vegetables|Processed/Products
1002|DR052|Taro leaves, fresh|Vegetables|Raw
1003|DR076|Taro leaves, fresh|Vegetables|Raw
1004|DP028|Taro wrapped in banana leaves|Vegetables|Processed/Products
1005|BR025|Taro, fresh|Starchy Roots & Tubers|Raw
1006|BR026|Taro, Pontianak, fresh|Starchy Roots & Tubers|Raw
1007|BP062|Taro, serimping, from Kebumen|Starchy Roots & Tubers|Processed/Products
1008|BP010|Taro, steamed|Starchy Roots & Tubers|Processed/Products
1009|BR027|Taro, viqueque, fresh|Starchy Roots & Tubers|Raw
1010|CP065|Tauco|Grains and Legumes|Processed/Products
1011|CP066|Tauco, brand beruang, cake|Grains and Legumes|Processed/Products
1012|CP067|Tauco, brand DAS, cake|Grains and Legumes|Processed/Products
1013|CP068|Tauco, brand meong|Grains and Legumes|Processed/Products
1014|CP069|Tauji, brand singa|Grains and Legumes|Processed/Products
1015|FP086|Tedong pallu basa, dish|Meat and Poultry|Processed/Products
1016|GP092|Tekwan|Fish and Other Seafood|Processed/Products
1017|CP070|Tempeh bongkrek|Grains and Legumes|Processed/Products
1018|CP071|Tempeh gembus P3G|Grains and Legumes|Processed/Products
1019|CP072|Tempeh gembus yogya|Grains and Legumes|Processed/Products
1020|CP040|Tempeh, chips|Grains and Legumes|Processed/Products
1021|CP041|Tempeh, chips, brand abadi, large size|Grains and Legumes|Processed/Products
1022|CP043|Tempeh, chips, brand abadi, medium size|Grains and Legumes|Processed/Products
1023|CP042|Tempeh, chips, brand abadi, original|Grains and Legumes|Processed/Products
1024|CP045|Tempeh, chips, brand abadi, prime quality|Grains and Legumes|Processed/Products
1025|CP044|Tempeh, chips, brand abadi, with egg|Grains and Legumes|Processed/Products
1026|CP078|Tempeh, hyacinth bean, benguk|Grains and Legumes|Processed/Products
1027|CP076|Tempeh, pure soybean, fried|Grains and Legumes|Processed/Products
1028|CP077|Tempeh, pure soybean, uncooked|Grains and Legumes|Processed/Products
1029|CP079|Tempeh, river tamarind|Grains and Legumes|Processed/Products
1030|CP080|Tempeh, river tamarind, variant gung with skin|Grains and Legumes|Processed/Products
1031|CP081|Tempeh, river tamarind, variant gung without skin|Grains and Legumes|Processed/Products
1032|CP082|Tempeh, sold in market|Grains and Legumes|Processed/Products
1033|CP083|Tempeh, sold in market, fried|Grains and Legumes|Processed/Products
1034|CP075|Tempeh, soybean + corn|Grains and Legumes|Processed/Products
1035|CP073|Tempeh, velvet bean|Grains and Legumes|Processed/Products
1036|CP074|Tempeh, winged bean|Grains and Legumes|Processed/Products
1037|NP010|Tempoya|Herbs and Spices|Processed/Products
1038|DP051|Terubuk candle soup|Vegetables|Processed/Products
1039|GR059|The climbing perch, fresh|Fish and Other Seafood|Raw
1040|GP023|The climbing perch, grilled|Fish and Other Seafood|Processed/Products
1041|GR082|Tiger prawn, giant, fresh|Fish and Other Seafood|Raw
1042|GP060|Tilapia jerky, fried|Fish and Other Seafood|Processed/Products
1043|GR056|Tilapia, fresh|Fish and Other Seafood|Raw
1044|GP022|Tilapia, jerky, raw|Fish and Other Seafood|Processed/Products
1045|DP058|Tinira ninahu nggaluku|Vegetables|Processed/Products
1046|FP088|Tinoransa, dish|Meat and Poultry|Processed/Products
1047|AP040|Tinotuan porridge (Manado)|Cereals|Processed/Products
1048|AP110|Tipa-tipa|Cereals|Processed/Products
1049|BP073|Tiwul|Starchy Roots & Tubers|Processed/Products
1050|BP074|Tiwul, instant|Starchy Roots & Tubers|Processed/Products
1051|CP018|Tofu, dregs, dried|Grains and Legumes|Processed/Products
1052|CP019|Tofu, dregs, oncom pepes|Grains and Legumes|Processed/Products
1053|CP016|Tofu, dregs, raw|Grains and Legumes|Processed/Products
1054|CP017|Tofu, dregs, steamed|Grains and Legumes|Processed/Products
1055|CP062|Tofu, fried|Grains and Legumes|Processed/Products
1056|CP061|Tofu, uncooked|Grains and Legumes|Processed/Products
1057|NP009|Tomato sauce|Herbs and Spices|Processed/Products
1058|DR160|Tomato, juice, fresh|Vegetables|Raw
1059|DR101|Tondano water spinach|Vegetables|Raw
1060|GR050|Tonguefish, fresh|Fish and Other Seafood|Raw
1061|DR105|Torch ginger, fresh|Vegetables|Raw
1062|ER071|Tree-ripe jackfruit, fresh|Fruits|Raw
1063|NR005|Tree-ripe tamarind, fresh|Herbs and Spices|Raw
1064|DR075|Tropical burnweed leaves, fresh|Vegetables|Raw
1065|ER092|Tujuh bulan banana|Fruits|Raw
1066|ER019|Tuppa fruit, fresh|Fruits|Raw
1067|GR081|Turi fish, fresh|Fish and Other Seafood|Raw
1068|DR139|Turkey berry, fresh|Vegetables|Raw
1069|NR022|Turmeric, fresh|Herbs and Spices|Raw
1070|HR010|Turtle egg, fresh|Eggs|Raw
1071|FP054|Turtle Lawar, dish|Meat and Poultry|Processed/Products
1072|GR043|Turtle, fresh|Fish and Other Seafood|Raw
1073|ER093|Ua banana, fresh|Fruits|Raw
1074|DR163|Uceng/ bago flower, fresh|Vegetables|Raw
1075|ER094|Uli banana, fresh|Fruits|Raw
1076|BP076|Uli batatas|Starchy Roots & Tubers|Processed/Products
1077|ER044|Unripe ambarella, fresh|Fruits|Raw
1078|ER109|Unripe breadfruit, fresh|Fruits|Raw
1079|ER063|Unripe mango, fresh|Fruits|Raw
1080|JP008|Unsweetened condensed milk|Milk and Dairy Products|Processed/Products
1081|CR036|Urei nut, dried|Grains and Legumes|Raw
1082|FR001|Veal, meat, fat, fresh|Meat and Poultry|Raw
1083|FR002|Veal, meat, lean, fresh|Meat and Poultry|Raw
1084|FR003|Veal, meat, medium fat, fresh|Meat and Poultry|Raw
1085|DR062|Vegetable fern, fresh|Vegetables|Raw
1086|DR015|Vegetable-hummingbird flower, fresh|Vegetables|Raw
1087|DR107|Vegetable-hummingbird flower, fresh|Vegetables|Raw
1088|ER011|Velvet apple, fresh|Fruits|Raw
1089|CR002|Velvet bean, dried|Grains and Legumes|Raw
1090|AP007|Vermicelli, fried, instant|Cereals|Processed/Products
1091|AP006|Vermicelli, raw|Cereals|Processed/Products
1092|DR041|Vietnamese coriander leaves, fresh|Vegetables|Raw
1093|ER111|Vigus, fresh|Fruits|Raw
1094|NP004|Vinegar|Herbs and Spices|Processed/Products
1095|AP111|Wajit, kue|Cereals|Processed/Products
1096|GR076|Wallago catfish, segar|Fish and Other Seafood|Raw
1097|DR061|Wambateu fern leaves, fresh|Vegetables|Raw
1098|ER112|Wani, fresh|Fruits|Raw
1099|ER030|Water apple, fresh|Fruits|Raw
1100|DR077|Water celery leaves, fresh|Vegetables|Raw
1101|DR068|Water clover leaves, fresh|Vegetables|Raw
1102|DR082|Water hyacinth, fresh|Vegetables|Raw
1103|DR100|Water spinach|Vegetables|Raw
1104|DP044|Water spinach pelecing|Vegetables|Processed/Products
1105|DP014|Water spinach, boiled|Vegetables|Processed/Products
1106|DP013|Water spinach, steamed|Vegetables|Processed/Products
1107|DR146|Watercress, fresh|Vegetables|Raw
1108|ER105|Watermelon, fresh|Fruits|Raw
1109|DR120|Wax gourd, fresh|Vegetables|Raw
1110|DR005|Welsh onion, fresh|Vegetables|Raw
1111|AP025|Wheat, flour|Cereals|Processed/Products
1112|FR014|Whistling duck, meat, fresh|Meat and Poultry|Raw
1113|DR131|White bitter melon, fresh|Vegetables|Raw
1114|DP015|White bitter melon, steamed|Vegetables|Processed/Products
1115|ER013|White dragon fruit, fresh|Fruits|Raw
1116|DR048|White leadtree leaves, fresh|Vegetables|Raw
1117|MP007|White sugar|Convectionery|Processed/Products
1118|DR080|White sweet potato leaves, fresh|Vegetables|Raw
1119|AP112|Widaran|Cereals|Processed/Products
1120|FP035|Wild boar rica, dish|Meat and Poultry|Processed/Products
1121|ER002|Wild grape, fresh|Fruits|Raw
1122|ER015|Wild sweetsop, fresh|Fruits|Raw
1123|CP001|Winged bean, boiled|Grains and Legumes|Processed/Products
1124|CR003|Winged bean, dried|Grains and Legumes|Raw
1125|DR036|Winged bean, fresh|Vegetables|Raw
1126|DR104|Winged bean, unripe, fresh|Vegetables|Raw
1127|AP113|Wingko babat|Cereals|Processed/Products
1128|DP061|Woku sweet potato|Vegetables|Processed/Products
1129|ER042|Wood apple, fresh|Fruits|Raw
1130|DR087|Wood ear, dried|Vegetables|Raw
1131|DR088|Wood ear, fresh|Vegetables|Raw
1132|ER045|Woromo, dried|Fruits|Raw
1133|AP114|Yangko|Cereals|Processed/Products
1134|DR097|Yardlong bean, fresh|Vegetables|Raw
1135|CR029|Yardlong bean, seeds, dried|Grains and Legumes|Raw
1136|DR033|Yardlong beans leaves, fresh|Vegetables|Raw
1137|DP012|Yardlong beans, boiled|Vegetables|Processed/Products
1138|DP011|Yardlong beans, steamed|Vegetables|Processed/Products
1139|DR084|Yellow bur head, fresh|Vegetables|Raw
1140|GP075|Yellow pickled tilapia, dish|Fish and Other Seafood|Processed/Products
1141|DR078|Yellow sweet potato leaves, fresh|Vegetables|Raw
1142|BP044|Yellow, noodle, chips, fried|Starchy Roots & Tubers|Processed/Products
1143|GP035|Yellowstripe scad, dried, raw|Fish and Other Seafood|Processed/Products
1144|JP011|Yoghurt, fresh|Milk and Dairy Products|Processed/Products
1145|ER046|Young coconut, meat, fresh|Fruits|Raw
1146|PR001|Young coconut, water, fresh|Non-Alcoholic Beverages|Raw
